date,away,home,actual_winner,v3_picked,v3_pick_prob,v3_home_prob,v3_away_prob,v3_correct,v3_picked_was_dog,v4_picked,v4_pick_prob,v4_home_prob,v4_away_prob,v4_correct,v4_picked_was_dog,disagreement
2025-03-31,CLE,SDP,SDP,CLE,0.538,0.5096,0.538,0,0,CLE,0.5385,0.5091,0.5385,0,0,0
2025-03-31,DET,SEA,DET,SEA,0.5482,0.5482,0.4993,0,0,SEA,0.5777,0.5777,0.4693,0,0,0
2025-03-31,CHC,OAK,CHC,OAK,0.5333,0.5333,0.5143,0,0,OAK,0.5273,0.5273,0.5203,0,0,0
2025-03-31,ATL,LAD,LAD,LAD,0.5479,0.5479,0.4997,1,0,LAD,0.5465,0.5465,0.501,1,0,0
2025-04-01,TEX,CIN,TEX,CIN,0.5261,0.5261,0.5216,0,0,CIN,0.5551,0.5551,0.4923,0,0,0
2025-04-01,NYM,MIA,MIA,MIA,0.5377,0.5377,0.5099,1,0,MIA,0.549,0.549,0.4985,1,0,0
2025-04-01,PIT,TBR,TBR,TBR,0.5248,0.5248,0.5229,1,0,PIT,0.5527,0.4948,0.5527,0,1,1
2025-04-01,ARI,NYY,ARI,NYY,0.5483,0.5483,0.4992,0,0,NYY,0.5778,0.5778,0.4693,0,0,0
2025-04-01,WAS,TOR,TOR,TOR,0.5331,0.5331,0.5145,1,0,TOR,0.5343,0.5343,0.5133,1,0,0
2025-04-01,MIN,CHW,MIN,MIN,0.5299,0.5177,0.5299,1,0,MIN,0.5299,0.5177,0.5299,1,0,0
2025-04-01,KCR,MIL,MIL,KCR,0.5446,0.5029,0.5446,0,0,KCR,0.5742,0.4729,0.5742,0,0,0
2025-04-01,LAA,STL,LAA,STL,0.5492,0.5492,0.4983,0,0,STL,0.5513,0.5513,0.4962,0,0,0
2025-04-01,SFG,HOU,SFG,SFG,0.5284,0.5142,0.5284,1,0,SFG,0.538,0.5046,0.538,1,0,0
2025-04-01,CLE,SDP,SDP,CLE,0.5375,0.5101,0.5375,0,0,CLE,0.538,0.5096,0.538,0,0,0
2025-04-01,DET,SEA,DET,SEA,0.5505,0.5505,0.497,0,0,SEA,0.58,0.58,0.4671,0,0,0
2025-04-01,CHC,OAK,CHC,OAK,0.5274,0.5274,0.5202,0,0,CHC,0.5261,0.5215,0.5261,1,1,1
2025-04-01,ATL,LAD,LAD,LAD,0.5485,0.5485,0.499,1,0,LAD,0.5472,0.5472,0.5003,1,0,0
2025-04-02,TEX,CIN,TEX,CIN,0.5266,0.5266,0.521,0,0,CIN,0.5556,0.5556,0.4918,0,0,0
2025-04-02,PIT,TBR,PIT,TBR,0.5262,0.5262,0.5214,0,0,PIT,0.5512,0.4962,0.5512,1,1,1
2025-04-02,KCR,MIL,MIL,KCR,0.5403,0.5073,0.5403,0,0,KCR,0.5699,0.4773,0.5699,0,0,0
2025-04-02,LAA,STL,STL,STL,0.5484,0.5484,0.4991,1,0,STL,0.5505,0.5505,0.497,1,0,0
2025-04-02,MIN,CHW,MIN,MIN,0.5329,0.5147,0.5329,1,0,MIN,0.5329,0.5147,0.5329,1,0,0
2025-04-02,WAS,TOR,TOR,TOR,0.5341,0.5341,0.5134,1,0,TOR,0.5354,0.5354,0.5122,1,0,0
2025-04-02,CHC,OAK,CHC,OAK,0.5266,0.5266,0.521,0,0,CHC,0.527,0.5207,0.527,1,1,1
2025-04-02,CLE,SDP,SDP,CLE,0.5388,0.5088,0.5388,0,0,CLE,0.5392,0.5084,0.5392,0,0,0
2025-04-02,DET,SEA,SEA,SEA,0.5511,0.5511,0.4964,1,0,SEA,0.5805,0.5805,0.4665,1,0,0
2025-04-02,SFG,HOU,SFG,SFG,0.529,0.5136,0.529,1,0,SFG,0.5386,0.504,0.5386,1,0,0
2025-04-02,NYM,MIA,NYM,MIA,0.5411,0.5411,0.5065,0,0,MIA,0.5524,0.5524,0.4951,0,0,0
2025-04-02,BOS,BAL,BOS,BOS,0.5376,0.51,0.5376,1,0,BOS,0.5581,0.4893,0.5581,1,0,0
2025-04-02,COL,PHI,PHI,PHI,0.5628,0.5628,0.4845,1,0,PHI,0.5643,0.5643,0.483,1,0,0
2025-04-02,ARI,NYY,ARI,NYY,0.545,0.545,0.5025,0,0,NYY,0.5746,0.5746,0.4726,0,0,0
2025-04-02,ATL,LAD,LAD,LAD,0.5499,0.5499,0.4976,1,0,LAD,0.5485,0.5485,0.499,1,0,0
2025-04-03,BOS,BAL,BOS,BOS,0.536,0.5115,0.536,1,0,BOS,0.5565,0.4909,0.5565,1,0,0
2025-04-03,COL,PHI,PHI,PHI,0.568,0.568,0.4793,1,0,PHI,0.5694,0.5694,0.4778,1,0,0
2025-04-03,HOU,MIN,HOU,MIN,0.531,0.531,0.5166,0,0,MIN,0.5327,0.5327,0.5149,0,0,0
2025-04-03,ARI,NYY,NYY,NYY,0.5468,0.5468,0.5007,1,0,NYY,0.5764,0.5764,0.4707,1,0,0
2025-04-03,CIN,MIL,MIL,CIN,0.527,0.5206,0.527,0,0,CIN,0.5558,0.4917,0.5558,0,0,0
2025-04-04,CHW,DET,DET,DET,0.5325,0.5325,0.5151,1,0,CHW,0.5345,0.5131,0.5345,0,1,1
2025-04-04,STL,BOS,BOS,BOS,0.5288,0.5288,0.5188,1,0,BOS,0.5418,0.5418,0.5058,1,0,0
2025-04-04,SDP,CHC,CHC,SDP,0.5271,0.5205,0.5271,0,0,SDP,0.5442,0.5033,0.5442,0,0,0
2025-04-04,TOR,NYM,NYM,TOR,0.5279,0.5197,0.5279,0,0,NYM,0.5252,0.5252,0.5225,1,1,1
2025-04-04,OAK,COL,OAK,OAK,0.5387,0.5089,0.5387,1,0,OAK,0.5394,0.5082,0.5394,1,0,0
2025-04-04,NYY,PIT,NYY,NYY,0.5355,0.5121,0.5355,1,0,NYY,0.543,0.5046,0.543,1,0,0
2025-04-04,SEA,SFG,SFG,SFG,0.5297,0.5297,0.5179,1,0,SFG,0.5254,0.5254,0.5223,1,0,0
2025-04-04,ARI,WAS,ARI,WAS,0.5279,0.5279,0.5197,0,0,WAS,0.5426,0.5426,0.505,0,0,0
2025-04-04,LAD,PHI,PHI,PHI,0.5383,0.5383,0.5093,1,0,LAD,0.5339,0.5137,0.5339,0,1,1
2025-04-04,MIA,ATL,ATL,MIA,0.5295,0.5181,0.5295,0,0,ATL,0.5281,0.5281,0.5195,1,1,1
2025-04-04,BAL,KCR,KCR,KCR,0.5466,0.5466,0.5009,1,0,KCR,0.5762,0.5762,0.4709,1,0,0
2025-04-04,TBR,TEX,TEX,TEX,0.5391,0.5391,0.5085,1,0,TEX,0.5392,0.5392,0.5084,1,0,0
2025-04-04,CIN,MIL,MIL,CIN,0.5266,0.5211,0.5266,0,0,CIN,0.5554,0.4921,0.5554,0,0,0
2025-04-04,CLE,LAA,CLE,CLE,0.5486,0.4989,0.5486,1,0,CLE,0.5777,0.4693,0.5777,1,0,0
2025-04-05,CHW,DET,DET,DET,0.533,0.533,0.5146,1,0,CHW,0.534,0.5136,0.534,0,1,1
2025-04-05,HOU,MIN,MIN,MIN,0.5309,0.5309,0.5167,1,0,MIN,0.5326,0.5326,0.515,1,0,0
2025-04-05,SDP,CHC,CHC,SDP,0.5257,0.5219,0.5257,0,0,SDP,0.5428,0.5047,0.5428,0,0,0
2025-04-05,ARI,WAS,WAS,WAS,0.5295,0.5295,0.5181,1,0,WAS,0.5441,0.5441,0.5034,1,0,0
